Name,Rating,Date,Review
Iago A.,5 star rating,"Aug 5, 2024","I came back to the bay for an event and my friend recommended this restaurant. I'm glad he did. The wait was only 15min. As soon as we sat, we had our drink order taken and bread brought. Our server was very friendly! I ordered the baked oysters and a cup of clam chowder! And wow! So rich! Definitely one of the best clam chowders if tasted. It wasn't to loud in there and the view of Alcatraz and the harbor was epic! I'll be back to try more of the menu! Thanks again!"
Laura G.,5 star rating,"Jul 23, 2024","We had an amazing dinner last night. The hostesses were  super nice and our table was ready within 10 minutes of us entering. We started with the side salads. They were fresh delicious with a tasty vinegar based dressing. They also brought you fresh rolls and soft butter. Yum. We shared two meals, the scallops were cooked perfectly and the risotto was super yummy., The star was the cioppino. It was filled with a ton of varied seafood in a red broth. We got an anniversary surprise from our sweet waitress, it was the perfect ending. Between the gorgeous scenery, the great service and the delicious food I am not surprised this restaurant is super busy. We felt like we were treated as special guests. We really appreciated that. We will certainly return."
Erin G.,4 star rating,"Aug 25, 2024","no wait time for a party of 7 on a friday during lunchtime! it was busy, but there were plenty of tables! ambiance is amazing, like your typical seafood restaurant with views of the water and plenty of natural sunlight! the food was everything we expected. we all came with empty stomachs and left feeling satisfied. we always like to start with some calamari-- which was amazing! it also came with fried onions and jalapeños which was very unique! i ordered the scallops and crab risotto and it was so buttery and yummy! everyone enjoyed their orders and were able to pick off each others plates. prices were hefty, as expected, but i would say worth it as seafood is not cheap. i wasn't able to try the desserts but i kept eyeing the ones i would see being brought to the other tables and they looked delicious!"
Michelle T.,4 star rating,"Jul 31, 2024","An iconic restaurant in Fisherman's Wharf. For the longest time I refrained from coming here because I believed it to be a tourist trap. However, I was surprised on my first and most recent visit and I found the food to be absolutely delicious.Our visit got off on a rocky start. I made reservations for our party of 8 a month ago. We arrived on time, but had to wait for 40 MINUTES as they were clearing the tables. This was crazy to me because I heard them quote a walk-in party of 7 one hour wait. So...what was my reservation for?This was during a busy Saturday summertime lunch so I understand it was busy, but the expectations need to be improved. Eventually we were seated and our server was excellent - friendly, funny, efficient. The menu said ""best clam chowder in San Francisco"" so, of course, we HAD to order the chowder. It was excellent...and the best clam chowder I've had in Bay Area. (Get the bread bowl with it! You won't regret it)I also ordered a very delicious cioppino and mussel fries, which were literally just mussels with fries on top but it was quite tasty.I will be back...but maybe on a not-so-busy day."
Daniella P.,5 star rating,"Aug 19, 2024","We decided to stop by to try their famous clam chowder. The interior looked good but the view from our table looked even better. We had a nice window view that overlooked the pier. We ordered some oysters which were probably some of the most fresh oysters I've ever tasted. Our clam chowder came shortly after in a nice, hot bread bowl. They really lived up to their name as the best clam chowder in SF. It was creamy and seasoned well. We had such a great experience here."
Rachel D.,4 star rating,"Aug 19, 2024","Overall good experience. This was my 2nd time here. For some reason, the host skipped my name in the queue but it was all worked out when I went to check in with her. Service was phenomenal after that. Jorge was pleasant and incredibly helpful with the menu choices. The food was delicious and I was very pleased with the seafood pasta especially. Ambiance was great as a I remembered it and we were seated by the window with a great view."
Alyssa S.,4 star rating,"Aug 21, 2024","Came here for a birthday dinner with a few friends. We had reservations and requested window seat. It took forever to be seated even with reservations, and didn't get window seat we asked for but once finally seated we completely enjoyed our meal. Everything we had was so fresh and delicious. We even got a complimentary birthday dessert for my friends birthday and we left very happy and full."
Thuy N.,3 star rating,"Aug 21, 2024","I was intrigued by the amount of reviews this place had and decided to come here while in sf. There was no wait at 11am on a Thursday, and our servers were very kind and informative about the menu. They give complementary bread, which I appreciate and it was delicious! I tried the clam chowder and wow it did live up to the hype! However the pasta dishes were a bit disappointing. They were bland and lacked flavor. I do like the huge serving size which makes the price a bit worth it. I just wish it had more flavor. If I were to come back here, it would be for the view and ambiance since you can see Alcatraz island."
Rae Lynn Z.,4 star rating,"Jul 21, 2024","Stopped here for lunch after a scattering of ashes ceremony in the Bay for a friend.We shared the blue cheese garlic bread, I had the octopus appetizer and a house salad as a meal, my friends both had clam chowder to start and one had the fish and chips, the other the shrimp brocette.  All the seafood was fresh and delicious. The entree sized meals were big enough that both took leftovers home.My blood orange margarita was delicious, but my friends Mai Tai was way too strong with no real flavor, just an alcohol taste. Service was great, with our waiter teasing my friend about her KC Chiefs sweatshirt. .   The only negative is it can get loud, but it is a draw for visitors, so not a surprise."
Sean S.,5 star rating,"Jul 14, 2024","This spot absolutely lives up to its above average ratings, highlighted by great good at fair prices with attentive service and a gorgeously glistening waterfront view. Any seafood on the pier is going to come at a premium, but the prices and experience here are on par or above any others I have had in the area, and I've tried quite a few. Even the wine prices are reasonable, and in such a touristy area that can be hard to come by. My partner loves to eat a whole crab for her birthday and this is the fourth year we've tried a new spot, and we have a winner. The whole crab comes with excellent potatoes and vegetables, and the clam chowder we added on has just the right amount of smoky bacon flavor to accent the rich oceanic flavor of the chowder. My cioppino was excellent with a pretty thick and flavorful broth with ample quality fish, shrimp, scallops, and mussels for every bite. Not to mention the perfectly fired calamari appetizer that comes with a delightfully garlic-heavy tartar sauce that's simply divine. I can't recommend this place enough, Fog Harbor is the real deal."
Sky R.,4 star rating,"Aug 31, 2024","As many of the great long lasting restaurants (Neptune's, Aliotti's, Fisherman's Grotto, Castagna's) located at San Francisco' Fisherman's Wharf have closed since COVID, we were looking for a new restaurant and discovered Fog Harbor. We shared a Caesar Salad and Chappino which was plenty for two for.  Although the staff was very friendly we had to ask multiple times for refills and Salt&Pepper.   It seemed like they were rushing people  through to turn tables quickly.  We probably would return if we were in the area again, but not a destination restaurant."
Maneet G.,5 star rating,"Jul 5, 2024","Truly the best seafood restaurant in the SF Bay Area! My husband and I visited for our five year anniversary. I had made reservations prior and we were seated by the window with a picturesque view of the ocean.Our waiter was very friendly and efficient and bought us hot sourdough bread to start with butter. So delicious!  We ordered the clam chowder, seafood penne, and fish n chips. The food came out so fast with the chowder first. That chowder is award winning and we saw why! It was so creamy and had lovely bits of clam and potato. It's heavy but such a treat! The seafood penne was amazing! The tomato cream sauce was so flavorful and there was a plentiful amount of seafood in the dish. My husband ate it all! Totally cleaned his plate!The fish and chips were great too with a crispy batter and tender fish that flaked inside. The fries were just your normal ones but good. The tartar sauce was on par and perfect!The whole meal was incredible and highly recommended. The chowder and seafood penne stood out as a notch above the rest! I would definitely come back again! And again!"
Sean P.,5 star rating,"Aug 30, 2024",Fantastic experience! Luis really took care of us! We loved his recommendations. Service was quick and efficient! I can't really complain about it! Would love to come back!
Betty J.,5 star rating,"Jun 20, 2024","When I like to treat myself, I come here. It's not a meal to be taken lightly. My last dining experience here was $100 with the tip. I did have steak and lobster for lunch though.Service here is always incredible. You can come in and sit at the bar or wait for a table when I'm by myself I prefer just to sit at the bar. Always great service no matter where I sit and always busy but definitely worth the wait The lobster was cooked perfectly. My steak was a little bit over, but not enough that I was going to send it back. Next time I would probably get the double lobster tail and save the steak for someplace else because fog Harbor fish house really does do the best fish And seafood dishes.They have a great list. Appetizers are incredible so you could come and fill up on appetizers as my friend and I did one day we just kind of went down the list until we were full ha ha If you are only going to come here one time, make a reservation or wait for a table by the window because the view is amazing! If you don't end up with the table that has a view can walk outside afterwards and take a look at the sea lions. However, I recommend , walk down to the next pier over to the north of the restaurant and walk to the end of it. You will get a much better view of Alcatraz and the sea lions without all the crowds."
Harlee S.,5 star rating,"Jun 28, 2024","The food is unbelievably good. This is definitely the spot on Pier 39 to get some good grub. You know how seafood restaurants usually don't have good pasta meals. We'll this place is the exception. The pasta was fantastic and so flavorful. The fish and chips was probably the best I've ever had. And that bruschetta was to did for!I loved the vibe, the menu and the service. All of it was so worth it."
Allison N.,5 star rating,"Jun 27, 2024","Went to this restaurant while walking through the pier. The wait around 5 PM for a table of 2 on a Friday was about 20 minutes, but there were lounge chairs where you can sit and wait for your table.I didn't want to get too extremely full as I planned to visit additional restaurants along the pier, but that was a nearly impossible plan since I wanted to order and eat everything. Clam chowder in bread bowl - 5/5 stars. This chowder was creamy and had plenty of clam meat in it. Definitely worth trying. The bread bowl was super fluffy. I recommend eating and finishing it while it's hot before your other dishes come out!Whole roasted Dungeness crab - 4.75/5 stars. Served with crab leg crackers tools and a bib, no gloves (we forgot to ask whether or not they had gloves.) The crab was so fragrant and had so much meat. It was cooked perfectly as the crab meat was not stuck to the shell. Note that they already removed the crab shell from the legs and extracted all the buttery tomalley, so if you order this looking to eat that, you're not going to get it.Overall 4.8/5 stars. Keeping this in my bookmarks and will definitely come back to try more items!Edit: The staff that served us was amazing and kept checking up on us :)"
Valerie C.,5 star rating,"Jun 23, 2024",Did a clam chowder crawl and I didn't think I would find my favorite clam chowder place to visit at Pier 39! The restaurant was packed so we decided to sit at the bar since we just wanted clam chowder and did a half order of  Kumamoto oysters! The oysters were so delicious but the size consistency was all over the place so I wished they were the same size for $27.Clam chowder in a bowl is $11 which is cheaper than the other spots in pier 39! I like that it was creamy and not salty! It paired really nicely with sourdough bread :) I will definitely be back to try other entrees and appetizers!!
Cuavietduc123 C.,5 star rating,"Sep 2, 2024","Sao chép khoá cửa cuốn nhanh giá rẻ tại huyện Bình ChánhSao chép chìa khoá cửa cuốn, làm thêm remote cửa cuốn, làm lại chìa khoá cửa cuốn bị mất,đánh tay bấm điều khiển cửa cuốn, làm tận nhà, lấy ngay sau 5 phút, nhanh, giá rẻ.https://www.lamkhoacuacuon.com/"
Frank M.,5 star rating,"Aug 9, 2024","I visited a few weeks ago on a vacation here! Got the mixed grill and LOVED it, best food I had the whole time! Everything cooked perfectly! They kept my water full always--and the yuzu Negroni was better than I expected! Spicy, but a fruity taste I won't forget. The view--equally great; but more for family style than a date."
Hong N.,3 star rating,"Jun 18, 2024","I personally didn't try the oysters because I'm a big believer in not eating shellfish during the summer seasons. According to the big boys, the oysters had some sand, but it's still good. Ironically, they both shortly felt unwell and ill once we got back home. So, please, my fellow readers, eat at your own risk. The clam chowder was delicious and creamy. Crab cakes were alright, the sauce added a nice touch. The halibut was a bit too dry for my taste. Everyone else loved it.IMO, the Scallop and Crab Risotto tasted very fishy and the flavors were more on the heavier side. Overall, I had a great experience. Service was great and I'll mostly be back for more of that clam chowder!"
Kayla S.,5 star rating,"Aug 11, 2024","Luis was our server and he was outstanding!! We ordered the Red Chili Garlic Shrimp, Clam Chowder and the SWORDFISH is amazing!!! Best dish ever. Plus they gave us a surprise dessert for my husband's birthday! Can't wait to come back."
Cheryl M.,4 star rating,"Jul 28, 2024","Friend coordinated a beautiful day in the City of taking the ferry, perusing the Ferry Building and having lunch at Pier 39. I had my reservations about dining in a touristy area with overpriced and pedestrian food but was pleasantly surprised. I suggested Fog Harbor Fish House since we were already in the area and friends didn't have suggestions. Fortunately, they had a variety of menu items to please everyone, not overly fancy and familiar. I suggested we do family style to sample various dishes. 4 stars for items ordered:   *  Baked Bruschetta - tomato, aioli pesto, balsamic - simple but delicious    *  Crab Cakes - good amount of Dungeness Crab (vs breading) and harissa aioli and mango    *  Clams - steamed clams with butter, garlic, white wine - delicious but wish we had some bread to soak up all the broth goodness!   *  Fish and Chips - lightly battered cod,  perfectly cooked friesAll delicious, flavorful and priced about right. Our server, Amy (along with staff) were true professionals: friendly, welcoming, and efficient. We got there about 12 and wasn't too busy...by the time we left, the place was bustling! Casual attire (shorts, flip flops) during the day as most were tourist. Parking garage located across the street with validation for the first hour. Public transportation: BART or take the ferry with a 1.5 mile walk. When you're with good company it's a quick walk and part of the experience  :)"
Sherry F.,5 star rating,"Jun 16, 2024","Popular seafood restaurant with stunning views of the pier that give the impression of dining on a boat.   It's right on Fisherman's Wharf, so will be flooded with tourists (like us, heh), but the seafood is good. Tables started getting filled around noon on the Saturday we went, but we didn't have to wait too long for food to arrive. As a family of four, we shared three dishes and were decently full from it, as we all have small stomachs lol. Award Winning Clam Chowder Bowl $10 - cheaper and a bit better than Boudin's! Mixed Grill $32 (comes with salmon, shrimp, cod, mashed potatoes and veggies) - Salmon and shrimp were both really well cooked and seasoned. The cod was slightly bland and the veggies were a lil hard, but the mashed potatoes were good.  Seared Scallop & Crab Risotto $39 - Really enjoyed this dish, as the scallops were cooked nicely. The risotto came out warm but it quickly got cold :/"
Catalina M.,5 star rating,"Aug 7, 2024","Very popular spot with a beautiful view. I was able to avoid the long line by grabbing a seat at the very spatious bar. I was on the fence about the bread bowl for my clam chowder but was pleasantly surprised to find out sour dough rolls were included. My husband enjoyed the mostly local beer selection.  If you're coming from out of town, this is a great place to stop."
Tormy L.,5 star rating,"Aug 18, 2024","The view is to die for . You can see Alcatraz and the golden gate !!! Food was to good soup was so good , fish and chips so good , steak was extremely food . The lady was so patient and nice to us she understood my daughter allergies and they make it work."
Stacy D.,5 star rating,"Jul 28, 2024","We were in San Fran for just the day and wanted seafood and wanted to give another restaurant a clam chowder try. I looked on yelp and this place popped up. I was able to get in on the Yelp waitlist right away at around 5:30 PM. I was # 27 and for some reason it said that my table was ready and only had to wait for maybe 5-10 min. We were seated and had a nice view of harbor and Golden Gate Bridge. Our kind server was Jorge & he was spectacular and had a very nice personality! He is a Hapa like me, and what was really cool is that he could speak Spanish to my husband and Japanese to me. We ordered following appetizers : 1. Fried calamari with a perfect crisp, and very tender & fresh with lemon aoli dip and fried jalapeños and onions (double yum) 5/5!2. Poke (5/5) super yum and fresh and good flavor. It came with these crispy won tons with cubed avocado, mango, etc w/delicious creamy wasabi dressing & keep in mind we aren't huge wasabi fans and we loved it ! Also, there was a seaweed garnish that added a wonderful taste. Meals as follows: 1. Small cup of clam chowder for me and bowl for my hubby. Super tasty flavor, thick and perfect amount of clams etc. almost got crab added but glad I didn't. It was so perfect! I got the small cup with the complimentary yummy, warm, sour dough bread with butter-5/5! My most fav clam chowder I have ever had in my life- really! 2. Kids meal :chicken tenders and fries (5/5) super yummy 3. Kids meal: cheeseburger fries (5/5) super good !Drinks: Pinot noir and modelo (5/5)Desert: blonde brownie desert with vanilla icecreamw/whipped cream (4/5) It could have been less ""nutty"" and no nuts @ all! I think there were way too many nuts. Still good ! I didn't get to choose, so.. lolNext time, I would select the caramel apple crumble desert with vanilla ice cream as the server suggested it was his fav ! Overall, 5/5 & will def return again!! Domo Arigato ! Note: 1st place in Monterey (Fisheman's grotto) the clam chowder was a 4/5. The 2nd place in Monterey, it was awful 2/5 (very runny and salty). No comment on the name of restaurant,  but won't return. So glad we had a wonderful experience @ Fog !!"
Aaron B.,4 star rating,"Aug 4, 2024","The sourdough bread bowl with clam chowder was incredible. That said, it's very touristy and expensive."
Stephanie G.,5 star rating,"Aug 2, 2024","So this restaurant was a recommendation and let me tell you it did not disappoint! My husband and I really enjoy seafood, so we were excited to try this spot! They sat us with a great view of the bay and Alcatraz. We were greeted by our waiter, Luis who was very knowledgeable on the menu and came in quick with great recommendations! He was so helpful during the entire dinner and even took photos of us! (Thank you!) we definitely recommend this restaurant and ask for Luis when you do stop by! You won't regret it!"
Alicia F.,4 star rating,"Jul 19, 2024","San Francisco is expensive, tourist traps are more expensive, now that the obvious is out of the way, let's get into it: I've gone to Fog Harbor twice now, once for a work lunch and once with my family for dinner and I'll break down both experiences. For our work lunch, we were able to snag a table for 10 at noon on a Wednesday, no problem. We were seated by a window on a beautiful sunny day. Service was great. It was my first time here, and honestly just because it's on the Pier, my expectations were extremely low and I was shocked how good it was! We got a round of apps for the table including the crispy calamari and crab dip. The calamari had crispy jalapenos and this tangy lemon aioli. I would come back for this alone and a beer, it was very good. You also can't go wrong with some warm bread and butter. I had a seafood penne for my entree and paired it was a ginger lemonade. Let me tell you, they did not skimp on the seafood. Super impressive, for $29 I was loaded up with a ton of shrimp, clams, and mussels. I was overly full and plenty left over. I also really enjoyed the ginger lemonade, a great NA option. The creme brulee was a little disappointing, as it didn't have that great crack sensation we are always looking for.Now for the dinner experience with my family:I tried to reserve a table, in person, the day before because on Yelp reservations, it only allows for tables up to 6. I was told I couldn't make a reservation in person and refer to the app and just leave a note that it was going to be 7 people. This was a little annoying but minor detail. It was a busy Thursday night and we got seated right at the time of our reservation which was 6:30 PM. We had the best waiter! My parents don't speak English and luckily, he could communicate with them in Spanish which was so awesome! My 80 year old dad gets nervous going to these ""fancy shmancy"" like places, so it's so nice seeing him comfortable. Obviously, we got the calamari, delic! We opted for a seafood tower for two, poke, and I tried the clam linguini this time. Loved the seafood options, would pass on the linguini next time, it was a little bland. Overall, it is a tourist trap but if you're spending the day on the Pier or Fisherman's Wharf, it's a great place to dine in, if you're looking for something not as casual."
Priscilla L.,5 star rating,"Jun 1, 2024","Some time ago, Tommy Hall, the founding member of the American psychedelic rock band the 13th Floor Elevators, ventured out from his usual reclusive lifestyle to dine with us, and he was thoroughly impressed. We took an Uber to Pier 39, eager to try the restaurant that came so highly recommended.Tommy savored every bite of his swordfish topped with a rich pesto aioli, perfectly accompanied by roasted peppers, red onions, zucchini, and fingerling potatoes, served with a delectable chimichurri sauce. It's clear that Tommy has an incredible palate for great food.George Ripley and I enjoyed the Fish & Chips, featuring beer-battered fresh cod and a side of crisp cole slaw. The dish was exceptional, elevating a classic favorite to new heights with its perfectly crispy batter and tender, flavorful fish.Adding to the delightful evening, George Ripley shared insights from his recent work on two documentaries: ""The 13th Floor Elevators Story"" and ""Slip Inside This House: The Tommy Hall Story."" It was a night of fantastic food and fascinating conversation.You can read more about Tommy Hall in this 2009 SF Weekly article by Jennifer Maerz:https://www.sfweekly.com/music/a-long-strange-trip/article_0871305a-094e-5327-9a65-999be305d937.html"
Neema B.,3 star rating,"May 28, 2024","For our last night in San Francisco, we were searching for good seafood. Everything I saw from locals prior to visiting said to skip Pier 39 because it's a tourist trap and there's much better food in other areas of the city. So while this wasn't my first choice, we were close by and decided to visit. Honestly, it gave Red Lobster vibes to me for some reason. I had a hard time selecting something I wanted to eat that day. Ultimately I went with a special dish on the menu, which was the halibut, served over succotash with corn, beans and tomatoes in a beurre blanc. The sauce was very flavorful, the vegetables too, but the halibut lacked flavor to me. It also seemed a bit overcooked. On my next visit I would likely find a local seafood spot outside of the pier. Overall, the staff was friendly and service was good. The food came out fast, and the restaurant has plenty of seating plus beautiful views. We visited at night and since we didn't sit by a window, we didn't have the best view of the pier, but I can understand why it's so popular."
Miranda T.,5 star rating,"May 27, 2024","Came here for dinner with my family and had a terrific experience! The atmosphere was casual and lively and we were seated near the window so we got a nice view of the harbor.Service was attentive and the food was delicious. They provided complimentary sourdough rolls to start. The rolls were so soft and chewy on the inside and had a nice crispy crust. Then we ordered the mixed grill, Caesar salad with crab, and soup and salad combo. The mixed grill and soup and salad combo were fantastic. The portions were generous and it was great value. Would highly recommend giving both dishes a try. However, the Caesar salad was a bit disappointing because the addition of crab was quite expensive for very little quantity."
Kassie E.,4 star rating,"May 27, 2024","Ambiance:- The views from this place are stunning! I decided to bring my mom for Mother's day. They sat us right by a window and since we went for dinner, we were able to catch the sunset.- Pretty busy restaurant. Partly because of the holiday and also because of location. It is right in the heart of Fishermans Wharf.- Arrived 10 minutes earlier than our reservation and were sat down right away.Food:- Yummy! I am usually hesitant about places that are in the middle of tourist locations. Usually food is overpriced and not good. I must admit that it is a bit pricey, but you get a good amount of food and it tastes good.- Below is what we ordered for two. This was more than enough food and had leftovers:STARTERS:1. Crispy Calamari (5/5)2. Oysters (1/2 Dozen) (4/5)3. Bowl of Clam Chowder (5/5)HOUSE SPECIALTIES1. Shellfish Platter for 1 (5/5)Service:- From start to end, the service was great. Everyone was friendly and made us feel seen/ heard.- Even when there were items on the menu that were sold out, they tried their best to provide options so that we could still try everything we wanted."
Arlene B.,5 star rating,"Sep 2, 2024","The restaurant offers delicious dishes and provides excellent service. Additionally, it boasts an amazing view of the pier. I"
Madison P.,5 star rating,"May 23, 2024","This was a great fine dining experience in SF. It's located in the heart of Fisherman's Wharf with a perfect view of the bay, complete with lots of seals!! We started with the Humboldt oysters, blue cheese garlic bread and a bowl of their ""best clam chowder in San Francisco"" - which we all agreed was truly some of the best we've ever had!!For my main course, I had the linguini with clams and it was delicious. No shortage of clam meat, either! Bongjovi was an excellent server and just the right amount of attentive (: Definitely worth a visit if you're looking for a nice dinner."
Rey C.,5 star rating,"May 23, 2024","Fog Harbor is still the best place to eat seafood. A bit pricey but hey you're at the forefront of Pier 39 so expect to pay prices much higher here than other places. Nonetheless my kids are much older now since my last review and we're all adults. The fish continues to be extremely fresh and the clams and mussels in my seafood penne were very fresh. The swordfish, Petra sole and mixed seafood along with the kumamoto oysters were on par!  We enjoyed the warm and crunchy complimentary bread baskets which filled us up. Our waiter whose name I already forget was very attentive despite the busy atmosphere. He said he's only been around for 3 years and never had a chance to visit Alcatraz. Hopefully he can someday and he was very nice. Overall great experience and we hope to be back again someday."
Melanie E.,5 star rating,"Aug 25, 2024","Always on par, got the shellfish platter as usual and added crab cakes... delicious and delightful, with lovely bread and a wonderful tartar sauce that made everything even better! Luis was an amazing server and we loved our visit... can't wait for next time!"
Nikki B.,4 star rating,"Jul 22, 2024","The service is good at this restaurant and the food is okay as well. Nothing exceptional per my point of view, if you're hungry and you're craving Italian near Pier39 -- then you should check it out. I am removing a star because I waited for 30 mins to be seated when I was told it would be 5 instead. I also had a newborn baby with me in a stroller. When we were getting seated, I was asked to put the stroller to the side of the restaurant and I blinked at the waitress asking ""what do you mean??"" My newborn can't sit at a high chair yet, she can't even lift her head yet! Annoying."
Aiza C.,5 star rating,"Aug 20, 2024","Great service, great food. The place is clean with lots of tables and great views. It's an iconic restaurant for sure. We got the mixed grill and a lobster roll! Would come back again :)"
