title,author,publish_date,content
How biodiversity can increase the resilience of cities,Radha Goenka,2024-09-03 07:40:36+05:30,"If you had to choose between living in a thriving forest full of organisms, including apex predators, or in a desert with barely any life, where would you choose to live? Your chances of survival would be higher in the forest. It provides the ideal conditions for life, with shade from the scorching sun, and easy access to water and food. But of course, you would have to overcome your fears.

Forests are complex ecosystems of diverse organisms that interact with each other. At an individual level, all living organisms in the forest are motivated to survive and reproduce. Yet, they are all connected and play a critical role in maintaining a fine balance in the larger ecosystem.

In the early 20th century, the Yellowstone National Park in the US was in a deplorable condition with a large part of its land barren with dying plants. In an experiment to restore its ecosystem,135 grey wolves, which were heavily hunted and almost extinct, were reintroduced to the park. In the years before the re-introduction, the large deer and elk population led to overgrazing, increasing soil erosion and widening of the rivers. This, in turn, set off a chain reaction of further destruction. The grey wolf, the park’s apex predator, hunted the overly populated deer and elk population and restored the balance of the original ecosystem. The reintroduction of the wolves led to the revival of the thriving national park we know today.

Advertisement

More than 75 per cent of flowering plants globally need insects and animals to pollinate them. They cannot multiply without pollinator insects like butterflies and bees. Besides the complex interdependence of the plant and animal kingdom, there is the fascinating fungal kingdom, which connects trees and plants. Fungi, which include mushrooms, are mostly on the roots of plants and trees. Many scientists believe trees talk to each other, through this underground network. Research shows that if a tree gets attacked by a disease, it alerts neighbouring trees. Depending on the threat’s severity, trees either brace themselves with a protective barrier or disconnect from the infected tree. The underground communication network is coined as the “wood wide web”.

Every organism in nature plays a critical role in creating a balanced ecosystem. As human beings, we are only one part in this larger ecosystem and are beginning to understand this only now.

Observing nature makes you realise that nature is very intelligent, hence the term “Natural Intelligence”. Just like Artificial Intelligence, we have only scratched the surface in our understanding of it. Step back and think about the complexity of the way the human body functions: How a single human cell creates energy or how each of us has a unique genetic code. In the plant kingdom, think about how a plant uses a green pigment “chlorophyll” to create energy from the sun.

Humans have been investing resources on trying to understand how the human body behaves and finding ways to change how it behaves through medicine for centuries. We realised humans have a genetic code only 200 years ago and are only beginning to even understand how genes work now. At a collective level, how we interact with each other is another story. Philosophy has been trying to understand human behaviour with each other, again for centuries, and yet we are confounded by the unpredictable behaviours and motivations of our species, clearly evident from wars and crimes.

Advertisement

A thriving forest ecosystem houses different types of plants, animals, fungi and microorganisms — different from a human-made green park. The diversity of the forest builds the resilience and adaptability of an ecosystem. A thriving biodiverse ecosystem not only provides for clean air, water and food but also helps us cope with natural disasters, diseases, and climate change.

So how do we build biodiverse spaces?

Studying trees and organisms that are native to an area is the first step and then reintroducing native plants and organisms to encourage restoration of original ecosystems is one way. And of course, there is protection of forests.

Mumbai is home to remarkable biodiversity. With a thriving biodiverse protected forest, the Sanjay Gandhi National Park, within its city limits and large amounts of mangroves and wetlands on its coast, the city has a lot of native land and marine biodiversity. Of course, the recent over-concretisation of the island city, with excessive buildings and roads is posing a grave threat to this biodiversity. But, we can take action to protect and enhance the biodiversity of a city like Mumbai.

To counter the coastal erosion, we can protect mangroves and natural marine habitats. We can invest in more sewage treatment plants that treat the waste the city disposes into the oceans and invest in new initiatives like artificial reefs that could enhance marine biodiversity. For land biodiversity, we should plant native species of trees and plants that exist in the Sanjay Gandhi National Park. We can create habitat corridors so the organisms that are in the park can multiply, expanding the ecosystem of the park into the city. A “green corridor” can be created and help reap the benefits of climate mitigation.

Advertisement

Medellin in Colombia, created a similar network of green corridors. It led to cleaner air and a drop in two degrees of temperature in the city.

With the creation of the Mumbai Coastal Road, connectivity in the city has been enhanced. We have a rare opportunity to create a biodiverse green corridor in the reclaimed area between the road and land. This along with planting of native trees could connect the biodiversity of Sanjay Gandhi National Park to the entire city.

Similarly, a conscious focus on land and marine biodiversity across the country could greatly help address the climate issues we face today.

The writer is the Director of RPG Foundation and is redeveloping two parks in Mumbai for the ‘Green Corridor’"
Express View on judicial delays: Time for reform,Cdata,2024-09-03 07:40:17+05:30,"On August 20, 32 years after a case of blackmail and sexual abuse of hundreds of girls came to light in Ajmer, a POCSO court in Ajmer convicted and sentenced six persons to life imprisonment. On August 29, Delhi High Court allowed a complainant to withdraw a case after she spoke of the burden of repeatedly having to miss work due to court appearances — a situation the Bench described as “litigation fatigue”. These two cases, in two different courts, illustrate the problem that President Droupadi Murmu sought to highlight in her address at the two-day National Conference of the District Judiciary. Calling it the “Black Coat Syndrome” she spoke of “poor people of the villages” being reluctant to go to court, fearing the financial and mental strain of a prolonged judicial process. She said, “How many days can it take? Thirty-two years, 12 years, 20 years, two years… One should think deeply about this.”

With the President calling for a solution to fix the “culture of adjournments”, it is about time that the longstanding problem of judicial delays got the urgent attention it deserves. It is the outcome of a system stretched to its limits, a conjunction of inadequate resources, especially manpower, and a caseload that grows each year: According to information available on the National Judicial Data Grid, over five crore cases are pending across different levels of the system. Contributing to the challenge are structural issues, such as the large shortfall in the number of judges: At just 15 judges per 10 lakh people, the figure is far less than the 50 judges per 10 lakh recommended by the 120th report of the Law Commission in 1987. Also in short supply are support staff, who are essential to the timely and efficient function of courts. While there have been attempts to unclog the system, such as by the addition of more courtrooms, an updated e-filing system and strategies like pre-litigation dispute resolution, like the Lok Adalats, they have not made a dent."
"India’s GDP growth, beyond the headline numbers",Soumya Kanti Ghosh,2024-09-03 07:35:31+05:30,"GDP growth in the first quarter fell short of the RBI’s expectations. At 6.7 per cent, growth is still higher than the decadal average of 6.4 per cent for the first quarter. Economic activities were clearly influenced by seasonal factors and the general elections during that period.

Despite the low number, the Q1FY25 throws up more positive trends than what the headline estimate suggests. Demand shows a largely positive picture with all heads except valuables showing positive growth. Private consumption grew by a robust 12.4 per cent in current prices. Robust consumption data reaffirms that the rural rebound remains strong. An uptick in agricultural growth in subsequent quarters on the back of a better monsoon will provide a strong impetus. Investments also registered a healthy growth of 9.1 per cent in current prices with investment rate at 31 per cent. Government expenditure registered a growth of 4.1 per cent, which was slower but it must be kept in mind that the general election was held in the first quarter. For example, government spending fell by close to 20 per cent quarter-on-quarter. Spending is, however, likely to have revived in the second quarter.

Adjusting for inflation, the expenditure heads show traction in private demand and capital formation. Exports registered a growth of 8.4 per cent while imports slowed considerably both sequentially and on a year-on-year basis on account of slowdown in oil demand and decline in imports of valuables such as gold.

Advertisement

On the supply side, gross value added grew by 6.8 per cent and the gap between GDP and GVA shrank to merely 19 basis points as compared to an average gap of 122 bps in preceding three quarters. Core GVA, a component of private demand, also registered a growth of 7.3 per cent.

Agriculture grew by a mere 2 per cent. However, the normal monsoon bodes well for kharif crop sowing and soil moisture retention in the coming months. La Niña conditions, originally expected to emerge in August, may now arrive by November. This will impact food CPI aiding consumption. The performance of the broader industry was robust with electricity and others, and construction registering double digit growth. The momentum in services also continued but at a slower pace. However, the strong growth in electricity should not distract us from discom reforms. Accumulated losses by many state discoms need to be tackled.

How does the 6.7 per cent number impact the outlook for the year? The RBI projected GDP growth for the full year at 7.2 per cent, based on a first quarter growth of 7.1 per cent. We believe that RBI’s estimate of 7.2 per cent still looks reasonable.

Recent data indicates a moderation in bank credit growth, though credit has increased to industry which is a positive for the economy and has a multiplier effect on employment and growth. Overall, the economic momentum remains intact. The rebalancing of demand from private consumption to investments supported by government capex needs further support. Private investment activity looks robust and domestic monetary conditions remain supportive of growth this year. A rate cut is on the cards and can come by the end of 2024 or early 2025.

Advertisement

As 7 per cent plus growth for the current year looks possible, the government should move ahead with the implementation of the nine priorities it had mentioned in the budget in a time-bound manner. These could be bucketed in a list of short and medium term priorities. We mention only two of them here.

The Budget had announced a self-financing guarantee fund with a cover of up to Rs 100 crore. It may be noted that the Emergency Credit Line Guarantee Scheme (ECLGS) had a corpus of Rs 41,600 crore that generated an additional lending of Rs 4.5 lakh crore to the MSME sector. Thus, say with a Rs 10,000 crore corpus and 100 per cent guarantee like ECLGS, this new scheme has the potential of additional MSME loans of Rs 1 lakh crore. Maybe, we can also launch a credit guarantee fund for the agricultural sector in subsequent budgets with the completion of digitisation of land records.

Additionally, the idea of banks using their own in-house capability to assess MSMEs for credit eligibility by using tax payments and even tax returns is an innovative idea. This transition will enable banks to truly own the customer value chain. Ultimately, this could culminate in banks building a UPI-like model for financing SMEs — through integration with CBDT/GST/EDI data.

Digitisation of land records in rural areas and linking them to the farmer registry is a move that could potentially benefit 7.4 crore farmers having operative KCC accounts. It may be noted that digitisation has been completed in 95 per cent of 6,57,397 villages. Once the farmer registry is completed, the data can be effectively used for unique lending to farmers and could ensure a bulge in agri-credit growth. There is now a genuine demand for loans with higher ticket sizes than the current RBI permissible limit of Rs 1.6 lakh sans collaterals.

Advertisement

In urban areas, the digitisation of all land records with GIS mapping could supplement the efforts of state governments in terms of updating, maintaining and administering property taxes and going completely faceless and making the process automated. This could potentially change the financial position of urban local bodies. Currently, 50 per cent of the own tax revenue of municipalities comes from property taxes.

So what should not be done? In states like Punjab, the groundwater level of three-fourths of the blocks falls under the over-exploited category, while only 13 per cent of blocks are in the safe category. Thus, running the MSP in its present form is undesirable for all stakeholders. Instead, the focus should be to build agri value chains. A calibrated adoption of the recommendations of the 2021 committee headed by Challa S Setty of SBI is needed.

The writer is member, 16th Finance Commission and Group Chief Economic Advisor, State Bank of India. Views are personal"
"Congress may renominate majority of its Haryana MLAs, list likely by Wednesday",Asad Rehman,2024-09-03 07:25:28+05:30,"The Congress’s Central Election Committee (CEC) met on Monday to discuss ticket allocation for the Haryana Assembly elections, with sources saying that 41 seats remain to be finalised. The party is likely to renominate a majority of its 28 sitting MLAs, according to sources in the CEC, and expects to release the names of all 90 candidates by Wednesday.

It is learnt that the Leader of the Opposition in the Lok Sabha, Rahul Gandhi, suggested that a “few Congress workers should also get tickets and not just established leaders”. A source in the CEC said Congress president Mallikarjun Kharge would take a call on whether to field MPs Randeep Singh Surjewala and Kumari Selja, While Surjewala is a Rajya Sabha MP from Rajasthan, Selja won the recent Lok Sabha election from Sirsa.

After the CEC meeting, All India Congress Committee’s (AICC) Haryana in-charge Deepak Babaria said, “A list with 49 names was given by the screening committee for Haryana to the CEC. A total of 34 names have been cleared, while 15 are pending.” Advertisement Babaria said a review committee would have a look at the 15 seats that the CEC had not finalised yet. The screening committee is likely to meet at 7 am on Tuesday and discuss the seats for the 41 constituencies for which it has not yet sent its recommendation to the CEC, which will reconvene on Tuesday evening. “The meeting of the CEC will continue tomorrow and the remaining 41 seats which are left will be discussed. We hope that by Wednesday, our list will be out. We will release all the names together,” Babaria said. Asked about the criteria for selection of candidates, the Congress leader said those with a “good image” were being given a chance apart from them having their names in the survey in a good position. “Those who have lost two elections will mostly not get tickets,” he said. Asked about sitting MPs being in the fray, he said: “I have not been told about them by the party high command.” On August 28, Babaria said the party would not allow its MPs to contest the elections. The remarks came after Selja and Surjewala expressed a desire to contest the polls. The following day, Babaria did a U-turn saying that “anyone who has the support of the MLAs and blessings of the party high command can be in contention for the chief minister’s post”.

Click here to join The Indian Express on WhatsApp and get latest news and updates"
Express View on export ban on food commodities: Monsoon comfort,Cdata,2024-09-03 07:23:13+05:30,"A good southwest monsoon — India has received 7.5 per cent above-long period average rainfall in the current season from June, with 9 per cent and 15.3 per cent surplus for July and August respectively — has led the Narendra Modi government to loosen anti-inflationary restrictions on food commodities. On August 29, the ban on sugar mills to produce ethanol directly from cane juice, syrup or intermediate-stage “B-heavy” molasses, imposed last December, was lifted. Mills/distilleries have also been allowed to use up to 2.3 million tonnes (mt) of rice from the Food Corporation of India’s stocks for ethanol production, after they were barred, since July 2023, from purchasing these in the latter’s open market sale auctions. The moves reflect the government’s comfort vis-à-vis the domestic availability of sugar and rice for human consumption as well as bio-fuel production. This comes amid expectations of bountiful monsoon-enabled bumper crops of paddy and sugarcane to be marketed/crushed from October-November.

But much more needs to be done. The Minister for Consumer Affairs and Food Pralhad Joshi has said that the government is “thinking” of relaxing the prohibition on white non-basmati rice exports, also effective since July 2023. Given the 45.5 mt of rice in public warehouses on August 1, the highest ever for this date, and farmers on course to plant a record area under paddy, there isn’t much scope or time to think. The government must, in fact, even dispense with the 20 per cent duty on parboiled non-basmati and $950/tonne minimum export price restrictions on basmati shipments. It should, likewise, permit resumption of sugar exports — stopped completely since May 2023 — given that mills will start the new season from October with some 9 mt of stocks, as against 5.6 mt a year ago. Not removing export curbs now would cause unmanageable problems of plenty in rice and sugar down the line. The same goes with the present export ban on onions and stockholding limits on pulses. These should go at the earliest, as farmers have significantly expanded acreages under these crops this time in response to both good rain and prices."
"Today in Politics: After Netflix content head, will I&B ministry summon Anubhav Sinha over IC-814 series row?",Cdata,2024-09-03 07:15:14+05:30,"As the Netflix documentary “IC-814: The Kandahar Hijack” has triggered a political slugfest, the Ministry of Information and Broadcasting summoned the OTT platform’s content head of India, and conveyed that they must keep religious sentiments and sensitivities of the public in mind.

Official sources said the ministry has summoned the content head of Netflix India on Tuesday, seeking an explanation on the allegedly contentious aspects of the OTT series portraying the 1999 hijack of an Indian Airlines flight by Pakistan-based terror outfit Harkat-ul-Mujahideen.

According to Divya A’s report, while the government has no immediate plans of banning the series, it has asked officials at Netflix to find a way to douse the controversy. It may also summon the filmmaker Anubhav Sinha, sources have said.

Advertisement

The depiction of hijackers of the Indian Airlines flight from Kathmandu to Delhi has stirred controversy with a section of viewers objecting to the ‘humane’ projection of the perpetrators.

“Nobody has the right to play with the sentiments of the people of this nation. Indian culture and civilisation should always be respected. Should we allow any foreign people to slipshod over our cultural values,” the source said without elaborating.

The sources said filmmakers have to think before portraying something in a wrong manner. “You may be liberal, but you cannot portray institutions in a wrong manner,” the source said.

In context: The documentary has landed in controversy after BJP IT cell chief Amit Malviya said the hijackers of the flight were dreaded terrorists, who acquired aliases to hide their Muslim identities. “Filmmaker Anubhav Sinha, legitimised their criminal intent, by furthering their non-Muslim names. Decades later, people will think Hindus hijacked IC-814,” Malviya posted on X.

Advertisement

Former Jammu and Kashmir Chief Minister Omar Abdullah said it was really amusing to see the people who took movies like “Kashmir Files” as the gospel truth having a meltdown at the way the events of IC-814 are depicted in the Netflix show. “Now suddenly they want accuracy and nuance packaged in the script,’ Abdullah said on X.

Shiv Sena (UBT) leader and Rajya Sabha MP Priyanka Chaturvedi said the “right-wing outrage” over the IC-814 TV series was a reminder of the BJP government’s massive failure then. “… it reminds the nation how the intelligence and government agencies were caught off guard. Much like the Kargil war too,” she said.

New AICC secretaries to meet

Meanwhile, newly appointed All India Congress Committee secretaries are meeting on Tuesday at the party headquarters. The meeting will be presided over by national president Mallikarjun Kharge.

In the first major organisational reshuffle after the Lok Sabha polls, the Congress on Friday had appointed new secretaries and joint secretaries and some state office-bearers – to be associated with the party’s general secretaries and in-charges in the states.

Advertisement

Pranav Jha and Gaurav Pandhi, coordinators in the office of the Congress president, were made AICC secretaries. While Vineet Punia, an AICC secretary in the party’s communication department, was given similar responsibility, Ruchira Chaturvedi was appointed secretary in the department along with him. Two former MLAs of Rajasthan, Danish Abrar and Divya Maderna, were appointed secretaries for Delhi and J&K and Ladakh, respectively.

Former president of All India Mahila Congress Netta D’Souza, former NSUI president Neeraj Kundan, and Naveen Sharma will work as AICC secretaries along with Venugopal. Dheeraj Gurjar, Pradeep Narwal, Rajesh Tiwari, Tauqir Alam, Nilanshi Chaturvedi and Satyanarayan Patel will be AICC secretaries in UP. Subhashini Yadav, daughter of late Sharad Yadav, was appointed a secretary.

PM Modi trip to Brunei to mark first-ever bilateral visit

Prime Minister Narendra Modi will begin his two-day Brunei visit on Tuesday, marking the first bilateral visit ever by an Indian PM

Advertisement

The visit aligns with the 40th anniversary of the establishment of bilateral ties between India and Brunei. “PM Modi, at the invitation of His Majesty Sultan Hassanal Bolkiah is scheduled to visit Brunei during September 3-4. This will be the first ever bilateral visit by an Indian PM to Brunei. The visit coincides with the 40th anniversary of establishment of diplomatic ties between India and Brunei. ” MEA spokesperson Randhir Jaiswal announced last week.

Modi’s visit to Brunei comes almost 10 years after his first meeting with the Brunei Sultan Hassanal Bolkiah in November 2014 on the sidelines of 25th ASEAN Summit in Myanmar. They met again during the 2017 East Asia Summit held in the Philippines.

The PM will then proceed to Singapore on September 4.

BJP state units to launch membership drives

Tripura Chief Minister Manik Saha will kick start the one-and-a-half month-long membership drive of BJP in the northeastern state on September 3, a senior party leader said on Sunday.

The BJP Tripura unit has set a target of 12 lakh members this time, state BJP general secretary Amit Rakshit told PTI. “We will kick start the one-and-a-half month-long membership drive of BJP in Tripura from September 3. Chief Minister Manik Saha will inaugurate the process in the presence of party’s state president, Rajib Bhattacharjee”, he said.

Advertisement

In Rajasthan, the BJP has set a target of inducting one crore members, the party’s membership campaign state convenor Arun Chaturvedi said here on Sunday. Chief Minister Bhajanlal Sharma and state president Madan Rathore will launch the campaign in the state.

– With PTI inputs"
Can you reduce heart attack risk by 20 per cent with catch-up sleep over weekends? Understanding a new sleep study model,Dr Rajiv B Bhagwat,2024-09-03 07:14:14+05:30,"Sleeping like a log over the weekends for long hours can make up for the damage done to your body by a lack of sleep during the week, according to an exhaustive 14-year study done by the State Key Laboratory of Infectious Disease in China. Those who got the most ‘catch-up’ sleep, found researchers, had a 20 per cent lower risk of developing heart attacks and strokes than those who remained sleep-deprived.

Undoubtedly, this research on the impact of compensatory sleep, which used data from nearly 91,000 people who reported sleeping less than seven hours every night, is significant. But the question is whether this is practical enough to follow. The bigger question is whether weekend lie-ins can indeed be a replacement for a regular good night’s rest. For that, let’s understand the link between sleep and heart health.

WHY IS SLEEP NEEDED FOR HEART HEALTH

Sleep is the time your body rests and repairs itself. A person’s heart rate and blood pressure drop while sleeping as their breathing becomes stable and regular. Besides, the less you sleep, the greater the time when your stress hormone cortisol is active. While it is needed for your metabolism and fighting off crisis situations and stress, consistently high levels of cortisol mean your body would get used to it. Excess cortisol can lead to inflammation, release more chemicals that trigger platelet aggregation and blood clotting. This in turn can lead to clot formation in heart vessels.

Advertisement

It can also affect the production of hormones that help regulate blood sugar levels. This can lead to insulin resistance and other cardiovascular risks.

IS SLEEPING IT OFF OVER THE WEEKEND REALLY POSSIBLE?

Although the results validate weekend sleeping, this solution may not be practical. That’s because it would require really long hours of sleep over the weekend to offset your sleep deficit. Which means, your other relaxation and socialisation activities will have to take a backseat every weekend. Is that sustainable? Also a National Sleep Foundation study in 2023 had shown it takes a much longer time to recover from a single hour of lost sleep, so you definitely need more than 48 hours of the weekend to make up for five days of sleep deprivation every week.

Besides, sleep hygiene demands that you be consistent with the time you wake up and sleep. If you break that pattern all of a sudden on a weekend, it is disruptive for your body, affecting your metabolism. If you wake up late, you will sleep late and have shortened sleep for Monday morning when you need to be thoroughly rested.

The American Academy of Sleep Medicine advocates sleep regularity even when you’re on vacation.

Therefore avoid sleep deficit in the first place, and try to build your own boundaries of when to fall asleep to get at least six to seven hours of sleep. I avoid stimulants like tea, coffee and sugar late evening. You can include hot milk, multigrain roti and eggs for your last meal as they are rich in tryptophan, an amino acid that helps in the regulation of the sleep hormone melatonin. Diet can help you maintain sleep schedules."
"As the wolves of Bahraich evade drones, nets and cages, 35 UP villages live in terror",Manish Sahu,2024-09-03 07:12:31+05:30,"Everything took place in a matter of seconds, say locals. A thud broke Meera Devi’s sleep around 3 am on a Monday. Still half asleep, she suddenly realised that her two-year-old daughter Anjali, who had slept next to her the night before, was missing.

Before Meera could raise an alarm or wake up her sleeping husband, the wolves had already sneaked out of the couple’s doorless brick house with Anjali. Two hours later, her mutilated body was found in a nearby sugarcane field in Bahraich district’s Gurudutt Singh Purwa village.

A police barricade at Sisayya village in Uttar Pradesh’s Bahraich district on August 31. (Express photo by Manish Sahu) A police barricade at Sisayya village in Uttar Pradesh’s Bahraich district on August 31. (Express photo by Manish Sahu)

Over the past two months, a pack of six wolves had been targeting people, mostly children, in 35 villages of Mahasi tehsil in Uttar Pradesh’s Bahraich district after sunset. Besides Anjali, the wolves have attacked three adults in the last 24 hours, say forest officials. They added that the animals grab the children by the mouth as they carry them away.

Advertisement

Between July 17 and September 2 (Monday), the wolves have killed eight persons — including seven children under the age of eight years — and injured 18 others. The first fatality — a one-month-old boy — was reported on July 17 in Sikandarpur village. The state has announced a compensation of Rs 5 lakh each to the families of the deceased.

Since the attacks began, the forest department launched ‘Operation Bhediya (Wolf)’ to capture the animals. Manoj Sonkar, Conservator of Forests, Devipatan division, told The Indian Express on the phone, “About 1.5 months ago, our thermal cameras and drones detected six wolves in the affected areas. We also found their pug marks.”

Though the initiative resulted in the capture of four wolves — two males and two females — between August 3 and August 29, two wolves continue to evade the officials.

Early on August 31, the two wolves were spotted by drones near Kolaila and Sisayya villages. Teams were quickly dispatched to the spot and the area cordoned off by the police. According to Additional Principal Chief Forest Conservator Renu Singh, who has been in Bahraich for nearly a week, multiple teams from both the range and divisional levels have been deployed to capture the two wolves.

Advertisement

Groups of armed men have started patrolling affected villages at night since the past two weeks. (Express photo by Manish Sahu) Groups of armed men have started patrolling affected villages at night since the past two weeks. (Express photo by Manish Sahu)

Over the past few days, forest officials have reported sightings of the two wolves in a 5-km radius. Twenty-five forest teams, each comprising a ranger, forester, guard and watcher, have been deployed across the affected villages. Additionally, three divisional forest officers from neighbouring districts, along with range and sub-divisional forest officers, are monitoring the animals’ movements. Nets and cages — designed to resemble a sitting or sleeping child — have been “strategically” placed, based on information obtained from the four drones equipped with thermal cameras that are currently tracking the wolves. To attract them, officials are using goats and life-size dolls dressed in colourful attire as bait.

On rounds in a forest department jeep to check preparations at Sisayya village around 3 pm, Bahraich Divisional Forest Officer (DFO) Ajeet Kumar Singh says one of the four captured wolves had died “due to a heart attack caused by stress”.

As the jeep enters the restricted area, the DFO says two of the captured wolves have been sent to Lucknow zoo and the third to Gorakhpur zoo. Instructing the vehicle to stop at a secluded spot, just past a barricade, DFO Singh starts walking towards a sugarcane field to speak to his colleagues stationed there.

Upon his return a few minutes later, he remarks, “All preparations are in place to capture the animals, but it seems the wolves have not been spotted here again. Not even by our drones.”

Advertisement

Sidhu Kumar of Sisai Churamani village in Uttar Pradesh’s Bahraich district lost his seven-year-old son in a wolf attack on August 4. (Express photo by Manish Sahu) Sidhu Kumar of Sisai Churamani village in Uttar Pradesh’s Bahraich district lost his seven-year-old son in a wolf attack on August 4. (Express photo by Manish Sahu)

He adds that a forester armed with a tranquiliser gun has been stationed nearby in case the wolves are sighted.

To a question on why Mahasi tehsil, located about 80 km from the Katarniaghat Wildlife Sanctuary and 55 km from Saryu river, is witnessing these attacks, Conservator of Forests Sonkar says, “I think these wolves originally lived near a river that gave them access to prey and water. I think they moved closer to human settlements after their natural habitat got flooded. Scarcity of natural prey is driving them to attack humans and they seem to have developed a taste for human flesh.”

In a statement on Monday, Chief Minister Yogi Adityanath directed that efforts be made to “control and capture man-eating wolves at all costs”. Emphasising the need for awareness, he instructed the administration to spread awareness by putting up hoardings at religious places, schools, markets and government buildings.

Minister of State for Forest and Environment (Independent Charge) Arun Kumar has been directed to deploy additional foresters in Bahraich, Sitapur, Lakhimpur, Pilibhit, Bijnor and other districts to increase joint patrolling and manage crowds in case the wolves are captured. The minister has advised the residents to avoid sleeping outside, keep children indoors and ensure that their doors are securely locked at night. He has also recommended travelling in groups and carrying sticks for protection till the remaining wolves are captured. Locals say the administration has installed doors in houses that were missing the same.

Advertisement

Despite these measures, the terror associated with these animals in the belt has surpassed the fear invoked even by tigers and leopards. After the first attack on July 17 in Sikandarpur village, the wolves struck 10 days later, on July 27. They attacked a two-year-old girl sleeping outside the house with her mother in Nakwa village. The girl’s mutilated body was found in a nearby sugarcane field about two hours later.

Late on August 4, a wolf entered a house in Sisai Churamani village and grabbed a sleeping seven-year-old boy. The boy’s body too was found in a nearby sugarcane field. On August 26, wolves took away a five-year-old boy sleeping next to his mother in Raipur village.

Rakesh Kumar of Nakwa village in Uttar Pradesh’s Bahraich district lost his two-year-old daughter in a wolf attack on July 27. (Express photo by Manish Sahu) Rakesh Kumar of Nakwa village in Uttar Pradesh’s Bahraich district lost his two-year-old daughter in a wolf attack on July 27. (Express photo by Manish Sahu)

Late on August 31, eight-year-old Paras and Kunnu Lal, 55, were attacked by wolves. According to the boy’s mother, they released her son as soon as she raised an alarm. Both Paras and Kunnu have sustained injuries, and are undergoing treatment.

On Monday, Kamla Devi, 58, sustained injuries on the neck after she was attacked by a wolf inside her unlocked house in Barabigha village. She says the animal fled as soon as raised an alarm.

Advertisement

Despite regular visits by government officials, terrified locals have taken to locking their children inside their houses while they work in their fields. To ensure their little ones do not wander outside at night, the women have started tying their saree’s pallus to their children’s limbs. The residents have also started returning home before sunset and staying indoors all night.

Armed with iron rods, sticks and torches, men in groups of 10 have been patrolling the villages at night for the past two weeks, says Shobha Ram, the husband of Nakwa village pradhan Kudiya Devi.

Sharda Devi, 70, who lives in Gauri village, says the women and children have started staying indoors all night and opening the door only when the men return in the morning.

To keep the wolves out, locals have installed lights and loudspeakers at various locations in the village. Firecrackers too have been used occasionally to keep the animals away.

Advertisement

The attacks led to a temporary dip in attendance at the local school. “The attendance has improved now that four wolves have been captured,” says Sunil Kumar, a teacher at the government primary school in Baggar village.

Camping in the affected villages, Mahasi BJP MLA Sureshwar Singh says, “The wolves have affected around 70,000 people in a 20-km radius.”

Calling two of the eight deaths “suspicious” — since the animals did not “consume the victims’ flesh” — forest officials said investigations are on to ascertain the causes of these two deaths."
BJP slams Congress for expelling leader over ‘casting couch’ claim,Cdata,2024-09-03 07:07:03+05:30,"The BJP Monday slammed the Congress for expelling former AICC member Simi Rose Bell John from the party after she alleged “exploitation” and “casting couch” in the party, asserting that in any other organisation this would have led to an inquiry.

Citing Hema Committee report, BJP leader Rajeev Chandrasekhar said: “I draw your attention today, given these unfortunate happenings, to a senior lady leader of the Congress in Kerala, Simi Rose Bell, who has alleged that there is exploitation in the Congress, and when she points out that there is a casting couch in the Kerala Congress, she is summarily dismissed from the party… In any other place in India, if a woman in the workplace raises an issue of sexual harassment, it is the bounden duty of the organisation under the law to constitute a committee, a Visakha committee, to investigate the accusations of harassment…”

“This is the same Congress party where Rahul Gandhi would go to J&K and say women had talked about rape and harassment. When it comes to his own party, the Congress in Kerala, which has a long list of dubious records of complaints from women, he does nothing,’’ he said. Advertisement Recalling that Priyanka Gandhi Vadra had coined the slogan ‘ladki hoon, lad sakti hoon (I am a girl; I can fight)’, Chandrashekhar said that in reality, the Congress chose not to investigate the charges made by a woman and removed her from the party. On Sunday, Congress in Kerala expelled Rose Bell from the primary membership of the party after she alleged that one has to be willing for exploitation for opportunities in Congress. KPCC chief K Sudhakaran said in a statement, “She had raised the allegation to insult women leaders in Congress. She was removed as her act was found as an act of grave indiscipline.”

Click here to join The Indian Express on WhatsApp and get latest news and updates"
"At Expresso, Javed and Zoya discuss society’s treatment of women, on-screen intimacy",Komal Rj Panchal,2024-09-03 07:02:55+05:30,"Lyricist-writer Javed Akhtar joined his daughter and filmmaker Zoya Akhtar for the third session of Expresso, held in Mumbai Thursday. Javed and Zoya reflected on a wide range of topics — the state of Hindi cinema, the evolution of stardom, how societies that exalt the mother figure treat women, and, of course, Amitabh Bachchan.

“In any society where there is a lot of premium on the mother, it means women are in a bad shape. They are in trouble. ‘Ma ki pooja hone chahiye (we should worship Ma).’ But what about the women you don’t worship, who also coincidentally include your wife? Okay, people should respect my mom but what about the mother of my kids? This is all rubbish. They put so much premium on mothers so they can misbehave with other women,” Javed said."
